regions,iso3,name,year,boreal,temperate,tropical,subtropical,1a_forestArea,1a_otherWoodedLand,1a_landArea,1b_naturallyRegeneratingForest,1b_plantedForest,1b_plantationForest,1b_plantationForestIntroduced,1b_otherPlantedForest,1c_primary,1c_tempUnstocked,1c_bamboos,1c_mangroves,1c_rubber,1f_palms,1f_treeOrchards,1f_agroforestry,1f_treesUrbanSettings,1f_other,2a_gs_ha_nat_reg,2a_gs_ha_planted,2a_gs_ha_plantation,2a_gs_ha_other_planted,2a_gs_ha_forest,2a_gs_ha_owl,2a_gs_tot_nat_reg,2a_gs_tot_planted,2a_gs_tot_plantation,2a_gs_tot_other_planted,2a_gs_tot_forest,2a_gs_tot_owl,2b_native_#1,2b_native_#2,2b_native_#3,2b_native_#4,2b_native_#5,2b_native_#6,2b_native_#7,2b_native_#8,2b_native_#9,2b_native_#10,2b_native_remaining,2b_native_total,2b_introduced_#1,2b_introduced_#2,2b_introduced_#3,2b_introduced_#4,2b_introduced_#5,2b_introduced_remaining,2b_introduced_total,2b_total_gs,2c_agb,2c_bgb,2c_dwb,2d_carbon_agb,2d_carbon_bgb,2d_carbon_dw,2d_carbon_litter,2d_carbon_soil,2d_soil_depth_cm,3a_prim_prod,3a_prim_prot,3a_prim_biodiv,3a_prim_socserv,3a_prim_multi,3a_prim_other,3a_prim_no_unknown,3a_tot_prod,3a_tot_prot,3a_tot_biodiv,3a_tot_socserv,3a_tot_other,3b_protected,3b_forMngt,3b_mngtProt,4a_priv_own,4a_individ,4a_bus_inst_fo,4a_indigenous_fo,4a_pub_own,4a_fo_unknown,4b_pub_admin,4b_individuals,4b_bus_inst_mr,4b_indigenous_mr,4b_unknown,5c_y_n,6a_policies_national,6a_policies_sub_national,6a_legislation_national,6a_legislation_sub_national,6a_platform_national,6a_platform_sub_national,6a_traceability_national,6a_traceability_sub_national,6b_pfe_y_n,6b_pfe_area,7a_employment_tot,7a_employment_fem,7a_employment_male,7a_emp_forestry_tot,7a_emp_forestry_fem,7a_emp_forestry_male,7a_emp_logging_tot,7a_emp_logging_fem,7a_emp_logging_male,7a_emp_nwfp_tot,7a_emp_nwfp_fem,7a_emp_nwfp_male,7a_emp_support_tot,7a_emp_support_fem,7a_emp_support_male,7b_phd_tot,7b_phd_fem,7b_phd_male,7b_msc_tot,7b_msc_fem,7b_msc_male,7b_ba_tot,7b_ba_fem,7b_ba_male,7b_tech_tot,7b_tech_fem,7b_tech_male,7b_total_tot,7b_total_fem,7b_total_male
Oceania,WLF,Wallis and Futuna Islands,2020,0,0,100,0,5.83,3.67,14,5.16,0.63,0.63,0.49,0,,,,0.02,,2.6,,,,,121,273,273,0,137.2212693,,0.62436,0.17199,0.17199,0,0.8,,,,,,,,,,,,,,,,,,,,,,192.6,37.33,16.82,80.9,15.65,7.12,1.89,51.35,,0.32,5.07,0.44,0,0,0,0,,,,,,,0.09,,,,,,,,,,,,,no,,,,,,,,,yes,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,TKL,Tokelau,1990,0,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,TKL,Tokelau,2000,0,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,TKL,Tokelau,2010,0,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,TKL,Tokelau,2015,0,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,TKL,Tokelau,2020,0,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,YEM,Yemen,1990,0,0,100,0,549,1406,52797,549,0,0,0,0,0,0,0,0.95,0,,,423,,,9.19,0,0,0,9.19,8.5,5.04531,0,0,0,5.04531,11.951,,,,,,,,,,,,,,,,,,,,,13.99,6.01,2.81,6.58,2.83,1.31,2.09,35.01,30,,,,,,,549,,,,,,,,,521.6,439.2,82.4,0,27.4,0,,,,,27.4,,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,YEM,Yemen,2000,0,0,100,0,549,1406,52797,549,0,0,0,0,0,0,0,0.9,0,,,423,,,9.19,0,0,0,9.19,8.5,5.04531,0,0,0,5.04531,11.951,,,,,,,,,,,,,,,,,,,,,13.99,6.01,2.81,6.58,2.83,1.31,2.09,35.01,30,,,,,,,549,,,,,,,,,521.6,439.2,82.4,0,27.4,0,,,,,27.4,,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,YEM,Yemen,2010,0,0,100,0,549,1406,52797,549,0,0,0,0,0,0,0,0.9,0,,,500,,,9.19,0,0,0,9.19,8.5,5.04531,0,0,0,5.04531,11.951,,,,,,,,,,,,,,,,,,,,,13.99,6.01,2.81,6.58,2.83,1.31,2.09,35.01,30,,,,,,,549,,,,,,31,,,521.6,439.2,82.4,0,27.4,0,,,,,27.4,,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,YEM,Yemen,2015,0,0,100,0,549,1406,52797,549,0,0,0,0,0,0,0,0.9,0,,,500,,,9.19,0,0,0,9.19,8.5,5.04531,0,0,0,5.04531,11.951,,,,,,,,,,,,,,,,,,,,,13.99,6.01,2.81,6.58,2.83,1.31,2.09,35.01,30,,,,,,,549,,,,,,31,,,521.6,439.2,82.4,0,27.4,0,,,,,27.4,,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
